127.0.0.1 - - [30/Dec/2012:11:36:10 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16520
127.0.0.1 - - [30/Dec/2012:11:36:10 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/style.css HTTP/1.1" 200 4273
127.0.0.1 - - [30/Dec/2012:11:36:10 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25743
127.0.0.1 - - [30/Dec/2012:11:36:10 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js HTTP/1.1" 200 1902
127.0.0.1 - - [30/Dec/2012:11:36:10 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/script.js HTTP/1.1" 200 1460
127.0.0.1 - - [30/Dec/2012:11:36:13 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/passwordHint?username=admin HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:13 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:13 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:13 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:13 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/login HTTP/1.1" 200 5608
127.0.0.1 - - [30/Dec/2012:11:36:19 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/signup HTTP/1.1" 200 14216
127.0.0.1 - - [30/Dec/2012:11:36:19 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6 HTTP/1.1" 200 93435
127.0.0.1 - - [30/Dec/2012:11:36:19 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6 HTTP/1.1" 200 101265
127.0.0.1 - - [30/Dec/2012:11:36:19 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6 HTTP/1.1" 200 16520
127.0.0.1 - - [30/Dec/2012:11:36:20 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/style.css;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6 HTTP/1.1" 200 4273
127.0.0.1 - - [30/Dec/2012:11:36:20 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6 HTTP/1.1" 200 25743
127.0.0.1 - - [30/Dec/2012:11:36:20 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6 HTTP/1.1" 200 1902
127.0.0.1 - - [30/Dec/2012:11:36:20 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/script.js;jsessionid=7027F5CDD77F14A0AD8D42C05C0AEDB6 HTTP/1.1" 200 1460
127.0.0.1 - - [30/Dec/2012:11:36:20 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/validator.jsp HTTP/1.1" 200 32649
127.0.0.1 - - [30/Dec/2012:11:36:27 +0800] "POST /ServiceContractSystem-0.0.1-SNAPSHOT/signup HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:27 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu HTTP/1.1" 200 4007
127.0.0.1 - - [30/Dec/2012:11:36:27 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93435
127.0.0.1 - - [30/Dec/2012:11:36:28 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101265
127.0.0.1 - - [30/Dec/2012:11:36:28 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16520
127.0.0.1 - - [30/Dec/2012:11:36:28 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/style.css HTTP/1.1" 200 4273
127.0.0.1 - - [30/Dec/2012:11:36:28 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25743
127.0.0.1 - - [30/Dec/2012:11:36:28 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js HTTP/1.1" 200 1902
127.0.0.1 - - [30/Dec/2012:11:36:29 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/script.js HTTP/1.1" 200 1460
127.0.0.1 - - [30/Dec/2012:11:36:29 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:29 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:29 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [30/Dec/2012:11:36:29 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/login HTTP/1.1" 200 5355
127.0.0.1 - - [30/Dec/2012:11:36:29 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93435
127.0.0.1 - - [30/Dec/2012:11:36:29 +0800] "GET /ServiceContractSystem-0.0.1-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101265
